longitude,latitude,gtl
22.5675,36.7549,1280
20.2627,39.4998,2415.33
22.425,38.43,0
22.1184,37.0227,1382.6
21.3183,37.6414,1143.42
19.91,39.62,3188.41
20.7133,38.8367,2098.3
21.7343,38.2498,11282.35
20.7533,38.961,0
20.8987,37.7834,0
