longitude,latitude,gtl
20.4967,38.1883,1477.81
22.5675,36.7549,0
22.425,38.43,325.5
22.1184,37.0227,738
21.3183,37.6414,0
19.91,39.62,3219.1951
22.9298,37.9383,742.95
20.7133,38.8367,6185.46
21.4233,38.3617,2713.62
23.0623,36.504,1872.3
21.7343,38.2498,4246.856
20.7533,38.961,2018.42
21.697,36.9138,0
20.8987,37.7834,2464.164
