longitude,latitude,gtl
22.5675,36.7549,0
22.425,38.43,1967.1
22.1184,37.0227,3056.4
21.3183,37.6414,3234.9
19.91,39.62,6369.05
20.7133,38.8367,1306.76
23.0623,36.504,3264.58
21.7343,38.2498,11325.92
